episode,ep_reward,avg_loss,avg_q,epsilon,n_transitions,global_abm_step,buffer_size,wall_time_s
128,-1360.0566600902025,0.008679130899921013,-2.7405725235706906,0.5632137500000001,5793,91955,100000,6034.3
129,-1356.2254622561707,0.008921583579189476,-2.7485960972761703,0.5597985000000001,5742,92674,100000,6078.7
130,-1394.3066425428783,0.008780731751728032,-2.687958880960941,0.55638325,5800,93393,100000,6123.8,-1308.7817149583366,48.3187320216339,0.3988805228107942,7.530001819997615,0.2834657094216134
131,-1434.8612321348558,0.008555094581240975,-2.711223643908663,0.55297275,6096,94111,100000,6200.8
132,-1379.8290111898655,0.008931619567842853,-2.7355711632904125,0.5495575,5878,94830,100000,6243.8
133,-1393.2348028029112,0.008921855822397682,-2.6983721479241245,0.54614225,5739,95549,100000,6285.1
134,-1299.500084446857,0.008748295311913476,-2.8878672875638207,0.54273175,5687,96267,100000,6325.6
135,-1389.0158264544784,0.008544845241358177,-2.74976123228431,0.5393165,5756,96986,100000,6368.0
136,-1362.3651595885767,0.009002166700587616,-2.6379174568186756,0.53590125,5633,97705,100000,6409.1
137,-1311.693230138792,0.009191734188895077,-2.8096451509148683,0.532486,5570,98424,100000,6449.1
138,-1386.0493203335825,0.008997332207131505,-2.7501888903390266,0.52907075,5836,99143,100000,6491.0
139,-1349.565791327658,0.0091837382218397,-2.764319198301316,0.5256555,5632,99862,100000,6532.0
140,-1364.8796418514457,0.009243789065172156,-2.8217207606791463,0.52224025,5811,100581,100000,6573.7,-1288.488965263456,21.465831318632713,0.40426163095411793,7.429173481159519,0.2798315141317542
141,-1383.4873124589005,0.009248010522986828,-2.5851449827015696,0.5188250000000001,5652,101300,100000,6648.6
142,-1365.666552433115,0.009241426897902319,-2.7869651779652704,0.5154097500000001,5823,102019,100000,6692.8
143,-1285.604507850708,0.00911113861260738,-2.87147649398337,0.5119992500000001,5493,102737,100000,6732.3
144,-1310.9879087783765,0.008912880972179696,-2.8678550701403447,0.5085887499999999,5640,103455,100000,6774.2
145,-1377.5912870462125,0.008658979198234879,-2.670984966273065,0.5051734999999999,5757,104174,100000,6818.8
146,-1394.6755084798378,0.008948510339640026,-2.8149537600294456,0.50176775,5883,104891,100000,6860.7
147,-1350.1226569659755,0.00907177965176567,-2.810163913036514,0.4983525,5635,105610,100000,6902.0
148,-1304.9534105744845,0.009040820758544621,-2.800073235681344,0.49493725,5516,106329,100000,6942.5
149,-1318.6416356657846,0.00892300410002683,-2.803783095613146,0.49152675,5559,107047,100000,6983.2
150,-1374.3515362217306,0.009463899411996725,-2.7866643108939946,0.48811625000000003,5816,107765,100000,7027.1,-1291.6558454219903,42.2896443717433,0.40592920961013357,7.405132990603795,0.2772804634037017
151,-1354.9460538794815,0.009333200469810872,-2.8679464361487024,0.48470100000000005,5782,108484,100000,7101.8
152,-1339.8570919056938,0.00893608237579913,-2.9007932422701845,0.48129050000000007,5820,109202,100000,7144.2
153,-1303.3511521342466,0.008860230060285594,-2.892934697934779,0.47787525,5582,109921,100000,7188.1
154,-1307.911666944374,0.00919401377974045,-2.861878856361949,0.47446,5577,110640,100000,7230.8
155,-1336.7415186129356,0.009084576761510551,-2.7731555931551024,0.4710495,5570,111358,100000,7275.5
156,-1334.3744117041867,0.008978462303552147,-2.731866064544127,0.46763425000000003,5571,112077,100000,7318.3
157,-1292.9885033295366,0.009557897913829112,-2.860439721769713,0.46421899999999994,5409,112796,100000,7361.4
158,-1333.2129008744316,0.009420900322442088,-2.8901964732409793,0.46080374999999996,5642,113515,100000,7407.5
159,-1342.50738682004,0.00907070824918019,-2.8545007992281386,0.4573885000000001,5710,114234,100000,7449.6
160,-1336.3525370165946,0.009005797075030644,-2.864211415656643,0.453978,5536,114952,100000,7493.1,-1335.514871986457,52.9883192059642,0.40560365731226283,7.485239644313198,0.29578760461157466
161,-1272.7159530155695,0.009386952520392289,-3.0406632879918516,0.4505627500000001,5547,115671,100000,7572.9
162,-1452.123776510287,0.00922664021785657,-2.8115751553629824,0.44714750000000003,6074,116390,100000,7621.8
163,-1316.306578078451,0.008958877709342374,-2.8033815196779037,0.44373225000000005,5625,117109,100000,7666.8
164,-1316.7262111528098,0.009217985821004138,-2.972293901082431,0.44031700000000007,5712,117828,100000,7716.2
165,-1267.3760065491267,0.008799341060864612,-3.0753079834798336,0.4369065000000001,5703,118546,100000,7765.0
166,-1312.6089691112556,0.00875945651535446,-2.8296465571562535,0.43349125,5553,119265,100000,7813.2
167,-1450.515716184766,0.009029457354436674,-2.7141394623601824,0.430076,5958,119984,100000,7864.0
168,-1339.3314470588455,0.009282245736465886,-2.729178511091315,0.426675,5699,120700,100000,7911.5
169,-1411.7111997156046,0.00922871484139449,-2.780788495094836,0.42325974999999993,5950,121419,100000,7963.0
170,-1366.7353267833996,0.008910880230155183,-2.8885032781666755,0.41984450000000006,5913,122138,100000,8015.3,-1345.5827118995976,67.13498925943377,0.40103413711598995,7.5873944278497065,0.29740331771675743
171,-1347.7196509042326,0.009497132127232272,-2.7687782213511603,0.4164292500000001,5680,122857,100000,8093.4
172,-1383.3932110556525,0.009408423187672904,-2.861572268399872,0.413014,5950,123576,100000,8140.7
173,-1328.1103172892858,0.009211517124801864,-2.833247077311569,0.40959875,5592,124295,100000,8182.4
174,-1351.768370309162,0.009014258141482953,-2.8624397323799218,0.40618825000000003,5660,125013,100000,8222.6
175,-1254.5718752525086,0.00897734823390315,-3.0494052619876664,0.40277300000000005,5647,125732,100000,8264.4
176,-1368.7841131750847,0.008752194969825886,-2.914647782960942,0.39935775000000007,5904,126451,100000,8312.0
177,-1242.291530803814,0.008414857367238831,-2.974443003581828,0.3959425,5441,127170,100000,8351.1
178,-1390.638782793336,0.008715824343184013,-2.750998068464033,0.392532,5791,127888,100000,8390.3
179,-1382.6740487874226,0.00876326166198689,-2.9421479065917193,0.38911675,5844,128607,100000,8429.7
180,-1280.5895109423932,0.008775645764058844,-2.951347280856517,0.38570150000000003,5560,129326,100000,8467.1,-1322.0754090964624,27.239918147197802,0.3983937090534496,7.440343955310146,0.28975370666115197
181,-1362.7043552398122,0.008481062777181086,-2.803500009839287,0.38228624999999994,5670,130045,100000,8537.1
182,-1353.5175111539018,0.009037938705815006,-2.964605141707654,0.37887100000000007,5846,130764,100000,8576.7
183,-1369.3508526908954,0.00903014172990454,-2.9276324710185238,0.3754605,5669,131482,100000,8614.9
184,-1252.6194561798848,0.00891942594397183,-3.078738652193886,0.3720452500000001,5546,132201,100000,8652.2
185,-1387.4417555759658,0.008587640790358257,-2.9350732432751436,0.36863,5912,132920,100000,8692.0
186,-1340.36319129539,0.008819584123453418,-2.9016175723133384,0.36522425000000003,5596,133637,100000,8729.8
187,-1356.3466143772177,0.00887227728695709,-3.0173519302266425,0.36180899999999994,5821,134356,100000,8768.9
188,-1273.8896306129038,0.008425096436787896,-3.1118598471345544,0.35839375000000007,5648,135075,100000,8809.2
189,-1245.094683419041,0.00843782063083688,-3.1556291653783495,0.3549785000000001,5492,135794,100000,8851.5
190,-1306.8890948337123,0.008645998663960063,-3.0476958081327252,0.3515632500000001,5559,136513,100000,8898.2,-1324.4365471072729,40.949926176046716,0.4069418103187171,7.571834274974714,0.2819069298056321
191,-1332.4100963140995,0.008603419913000615,-2.980283814284092,0.348167,5603,137228,100000,8978.8
192,-1327.0158970153816,0.009252912120070522,-2.932464359300919,0.34475175,5472,137947,100000,9026.7
193,-1337.2458876219027,0.009649031159054381,-3.020250309310177,0.34133650000000004,5717,138666,100000,9075.1
194,-1308.0867922335747,0.009342115809132339,-3.0847586019102007,0.33792125000000006,5614,139385,100000,9122.5
195,-1425.8079820873547,0.009402664090218307,-2.865884976186504,0.33450599999999997,5838,140104,100000,9170.0
196,-1329.636570802558,0.009529428784766059,-2.967326998278754,0.3311002500000001,5486,140821,100000,9216.9
197,-1256.7442954663923,0.009533249102451789,-3.0790387759674123,0.3276897500000001,5399,141539,100000,9258.9
198,-1342.7737026209543,0.009498228387921295,-2.985478762354958,0.324284,5661,142256,100000,9306.1
199,-1307.8889420136632,0.009198735459147294,-3.0184994391556486,0.32086875000000004,5624,142975,100000,9356.7
200,-1389.003258213456,0.009334521584225333,-2.9067099516213304,0.31745349999999994,5935,143694,100000,9409.6,-1269.9484440494255,35.34938222052556,0.40799407076113586,7.31901500211323,0.2815360631068141
201,-1370.8901470669925,0.009081038661074506,-2.9752835355646328,0.31404299999999996,5934,144412,100000,9525.7
202,-1296.25057997669,0.00881428626220602,-3.0898427900312964,0.31062775,5587,145131,100000,9590.0
203,-1364.5803775683598,0.009029431998810719,-2.930542916429837,0.3072125000000001,5794,145850,100000,9655.8
204,-1362.1661135506297,0.009340471371542662,-3.0090305091728244,0.303802,5700,146568,100000,9721.1
205,-1384.955841360688,0.009284851513810814,-3.15432796683884,0.30038675000000004,5963,147287,100000,9790.0
206,-1333.805138523592,0.008805279826549705,-3.127817797595467,0.29697150000000005,5654,148006,100000,9855.4
207,-1310.644937850669,0.009109763977407148,-3.252777229740982,0.2935562500000001,5730,148725,100000,9922.4
208,-1345.813516787536,0.008974232091231639,-2.9810137868389033,0.290141,5683,149444,100000,9977.0
209,-1264.8245804056844,0.008773636836615247,-3.195643515472081,0.2867305000000001,5588,150162,100000,10025.7
210,-1314.6416146912309,0.008730904116983216,-3.0913765845297925,0.2833200000000001,5648,150880,100000,10077.7,-1304.1631071852962,27.11780127882542,0.4118022954068811,7.444831540879084,0.2830782429522826
211,-1327.3710156347518,0.008914334861529156,-3.20047757528108,0.27990950000000003,5846,151598,100000,10163.6
212,-1329.4108726039283,0.008711417003776976,-3.1252990490418115,0.27649900000000005,5690,152316,100000,10213.8
213,-1437.194680479155,0.008990865610427608,-2.952781710615839,0.27308374999999996,5805,153035,100000,10265.9
214,-1331.237532520959,0.009188056498088501,-3.0911963266263744,0.2696685000000001,5708,153754,100000,10316.3
215,-1341.7664867561095,0.008837611069405987,-3.201857017750291,0.2662532500000001,5849,154473,100000,10370.0
216,-1280.473289786865,0.008393181567944216,-3.202921490075901,0.2628427500000001,5525,155191,100000,10420.2
217,-1225.5928893041269,0.008301893324642968,-3.295121061688832,0.25943700000000003,5561,155908,100000,10471.9
218,-1292.1003715955085,0.0084676804273072,-3.1948822572130875,0.25602175000000005,5627,156627,100000,10523.8
219,-1266.2138138569455,0.008402542421691979,-3.141602072843939,0.25260649999999996,5566,157346,100000,10571.3
220,-1384.2377743899215,0.008474880110024952,-3.045982035145563,0.24919124999999998,5894,158065,100000,10621.5,-1314.60352459238,38.388633924771185,0.41655932085378994,7.408918352986802,0.2888515960439084
221,-1297.1061295572788,0.00868922436716554,-3.188907424361315,0.2457760000000001,5578,158784,100000,10694.3
222,-1353.0284583779771,0.008596783988691367,-3.1149693204638362,0.24236075,5839,159503,100000,10738.3
223,-1351.5882242750895,0.008554489580234323,-3.0309264908303892,0.23895500000000003,5708,160220,100000,10780.5
224,-1290.350087108902,0.008451577557192405,-3.177211855991442,0.23553974999999994,5704,160939,100000,10822.7
225,-1304.9159357377646,0.008247960371317543,-3.262882208193437,0.23212450000000007,5793,161658,100000,10875.2
226,-1253.6394849717713,0.008291383426874169,-3.02795407685507,0.22870925000000009,5391,162377,100000,10918.5
227,-1337.5461140068765,0.008451881229998515,-3.1376310602433124,0.2252940000000001,5786,163096,100000,10964.4
228,-1310.8028859083327,0.008339329528100969,-3.231484837227805,0.22187875,5802,163815,100000,11010.1
229,-1360.2800876831584,0.008164593129888922,-3.14501129342527,0.21847775000000003,5937,164531,100000,11060.1
230,-1297.8630305318165,0.008261847860787297,-3.2004809261605813,0.21506725000000004,5780,165249,100000,11109.4,-1306.8126473187826,43.94987939363399,0.40588898051270206,7.430993273671949,0.2841149072394996
231,-1416.0947859632179,0.008076054898818,-3.0167939841202487,0.21165200000000006,5908,165968,100000,11192.1
232,-1276.5550545872143,0.008209504531558756,-3.2320677282177868,0.20823674999999997,5682,166687,100000,11240.7
233,-1343.6961440010423,0.008432448477184721,-3.0485124257086693,0.20482625,5652,167405,100000,11289.0
234,-1282.1701899700865,0.007982661575899587,-3.1874610664839795,0.2014205000000001,5561,168122,100000,11336.7
235,-1320.4317427217713,0.008323877762241088,-3.0175146393243657,0.19800525000000002,5534,168841,100000,11385.7
236,-1323.5704577561012,0.008523629120808705,-3.1784138585918766,0.19459000000000004,5834,169560,100000,11436.5
237,-1282.771452910056,0.008311757691879012,-3.220379968735247,0.19117475000000006,5620,170279,100000,11485.9
238,-1266.1612766236722,0.007980560813764472,-3.323073072545829,0.18775949999999997,5602,170998,100000,11534.9
239,-1342.4431226685308,0.008235454137856537,-3.3385443301861177,0.18434425,6001,171717,100000,11586.6
240,-1254.8750427224775,0.00798802774584292,-3.3335789038087125,0.18092900000000012,5620,172436,100000,11637.2,-1285.566934770733,26.19817669693631,0.4078412530526677,7.395878421766456,0.28268083428384916
241,-1248.1346525962604,0.00759803675673063,-3.330713214162771,0.17751375000000003,5550,173155,100000,11720.2
242,-1269.7568600394507,0.0077356540140742225,-3.1894942126338837,0.17409850000000004,5525,173874,100000,11768.9
243,-1304.9933883907192,0.008028880759553112,-3.3250572485976306,0.17068325000000006,5718,174593,100000,11818.3
244,-1359.0509973864898,0.008151416951968003,-3.082615771859287,0.16726800000000008,5686,175312,100000,11865.8
245,-1321.7752519859441,0.008459151761220758,-3.162601974727696,0.16385275,5681,176031,100000,11915.7
246,-1313.8337036963308,0.00807793467452034,-3.345896077981109,0.1604375,5794,176750,100000,11963.4
247,-1307.5900294864337,0.00816906788942729,-3.2477698897526945,0.15703650000000013,5696,177466,100000,12011.4
248,-1269.335318451548,0.007980185501390439,-3.2717996274395023,0.15362125000000004,5440,178185,100000,12058.4
249,-1286.4735553992234,0.008110975736362226,-3.2233797592825293,0.15020600000000006,5546,178904,100000,12103.4
