episode,ep_reward,avg_loss,avg_v_now,n_decisions,n_transitions,n_updates,wall_time_s,train_CR,train_WT,train_DU,val_reward_mean,val_reward_std,val_CR,val_WT,val_DU
69,-2297.638345040506,0.04162566242116368,-2.2757272166603046,8607,8607,269,14.793161869049072,0.6197783461210571,5.419608288161572,0.39876240969645993,-2394.4802274027143,55.842412199651704,0.6129363901498593,5.441022876241848,0.4153581360884859
70,-2406.84120934784,0.04134551388107147,-2.385232848791892,8966,8966,281,15.587778091430664,0.6504463000287936,5.362575308996155,0.4265682438041029,,,,,
71,-2147.7469443268433,0.048043666224078095,-2.37813647418584,8275,8275,259,14.472053050994873,0.6037995594713657,5.154135067609987,0.412807589682775,,,,,
72,-2310.191327442368,0.05203707061385862,-2.402715636440092,8488,8488,266,14.709904193878174,0.5941306755260244,5.410517842129484,0.4131178987752693,,,,,
73,-2360.704098146368,0.04386712514637956,-2.3698480678062466,9062,9062,284,15.757766962051392,0.6385846672283066,5.244447097918117,0.4090725282343087,,,,,
74,-2514.9908209784808,0.046076639762709606,-2.402208880305086,9336,9336,292,16.253743886947632,0.6520654283337954,5.492102293165202,0.4428978310085445,,,,,
75,-2346.9998814737082,0.044734732986873256,-2.555280849667212,8815,8815,276,15.369283199310303,0.6170993227990971,5.2681650642682145,0.4154310128172908,,,,,
76,-2366.369302437214,0.0472603025555145,-2.5562368250572582,8703,8703,272,14.977076053619385,0.6183356840620592,5.45548950574172,0.4322258641239571,,,,,
77,-2281.551645480627,0.04265873660090199,-2.5571688607432486,8568,8568,268,14.901311874389648,0.6196198993851314,5.449260239057519,0.4163420692899034,,,,,
78,-2406.931622083998,0.04684833605276374,-2.5736992732933976,8927,8927,279,15.295236825942993,0.6282693377851976,5.417086534221046,0.4314874877257714,,,,,
79,-2253.8367681480595,0.04656107677322514,-2.5506525052919895,8459,8459,265,14.865443229675293,0.6383656911040279,5.2969587416352155,0.4252740911713791,-2400.5638165504106,16.0346471055376,0.6116011085040313,5.380687532706451,0.41460506638625266
80,-2458.936569374634,0.04415403162633961,-2.7679189310742,9135,9135,286,17.660377740859985,0.615665356541269,5.538086147959695,0.42085816100011686,,,,,
81,-2232.9795561184083,0.05326342945316445,-2.7567882741380254,8387,8387,263,14.983353853225708,0.6163631107256432,5.288899365206476,0.4072342776923192,,,,,
82,-2530.38238746567,0.05032404156596719,-2.7790566942629016,9227,9227,289,17.253026008605957,0.6221311475409836,5.435545476929332,0.45047894721136345,,,,,
83,-2469.383330808567,0.049919317492453506,-2.7521980666149397,9291,9291,291,17.36688780784607,0.6514891179839634,5.3497696436590445,0.4269984782024886,,,,,
84,-2453.011141012597,0.06511660706361427,-2.781917224191451,8675,8675,272,15.517027139663696,0.6030871003307607,5.580889155595789,0.43719381895887544,,,,,
85,-2412.284456879329,0.053642939226940654,-2.8171513003749458,8718,8718,273,16.300771951675415,0.5726657645466847,5.475994427221548,0.41876302580209585,,,,,
86,-2540.89673759599,0.05961789670631501,-2.8406583096670066,9016,9016,282,16.42038106918335,0.6167123287671233,5.6072166108717125,0.45665233479648243,,,,,
87,-2214.391458331105,0.049155586104571936,-2.8334340101742095,8430,8430,264,20.400851249694824,0.6381345926800472,5.361054737940143,0.39854109447446917,,,,,
88,-2460.842255809955,0.05228864524141771,-2.840509480150326,9114,9114,285,29.5056369304657,0.6384937238493724,5.432560709958281,0.43495180239725517,,,,,
89,-2274.9894521923025,0.05621168436654379,-2.822170242065497,8643,8643,271,27.249268054962158,0.649956534337873,5.193843225949457,0.416655627676955,-2420.2745417330316,77.42351405065426,0.6172369257366939,5.423813418903748,0.423117754932692
90,-2379.988299932276,0.04706573110424738,-2.8664174016356387,8818,8818,276,15.559452056884766,0.6223091976516634,5.48872228416133,0.42465020942874965,,,,,
91,-2392.550588870539,0.051367294804512686,-2.8948262045966695,8658,8658,271,15.251450777053833,0.6031396309556596,5.51232563806272,0.43455520458385366,,,,,
92,-2178.6880776889147,0.06127421744724372,-2.873173451183118,8029,8029,251,13.77212119102478,0.5844799119427628,5.402549945825282,0.4249055698782901,,,,,
