episode,ep_reward,avg_loss,avg_q,epsilon,n_transitions,n_completion_bonus,global_abm_step,buffer_size,wall_time_s
64,-2421.707638593599,0.36417613955550276,11.18964919268417,0.563057,8568,2160,45994,100000,6233.8
65,-2436.367540339525,0.3732188906375551,11.33006542560192,0.5562265,8886,2261,46713,100000,6332.2
66,-2546.262443136507,0.3714826402411595,11.105570555409372,0.549434,8816,2195,47428,100000,6430.2
67,-2485.7843306442455,0.3660361273836658,10.97036054016829,0.5426225,8783,2140,48145,100000,6527.8
68,-2396.5850483338895,0.3677713344768618,11.177181818277347,0.5358015,8589,2267,48863,100000,6622.4
69,-2467.903529578291,0.37673502027715566,10.823084672116865,0.5289710000000001,8519,2217,49582,100000,6716.6
70,-2600.6452812025523,0.37506612894537134,11.079270623643744,0.5221405000000001,9208,2317,50301,100000,6818.0,-2606.0404892276492,55.06404732349134,0.6054176902482193,5.698807480166869,0.4261605628153108
71,-2340.4038169035834,0.3680004496312184,11.105591091308776,0.51531,8365,2185,51020,100000,6956.4
72,-2416.5831014500804,0.37920175502423914,11.152943324852277,0.5084795,8638,2156,51739,100000,7052.4
73,-2630.5743221780176,0.379191396484674,10.520313779325424,0.501649,8581,2155,52458,100000,7146.5
74,-2694.063399519996,0.3740276420791468,11.196075989471577,0.49485650000000003,9439,2223,53173,100000,7250.5
75,-2585.844223894693,0.373083964431045,11.1035573686218,0.48803550000000007,9059,2210,53891,100000,7352.3
76,-2552.377442403755,0.37217584476577154,10.867507922986466,0.4812145000000001,8912,2236,54609,100000,7451.5
77,-2490.80401041854,0.3701320463861507,10.89219983757419,0.47438400000000003,8566,2210,55328,100000,7547.0
78,-2607.8495985209865,0.36205162675899283,10.61700106656444,0.46755349999999996,8763,2236,56047,100000,7643.3
79,-2536.8403849296296,0.3714158220520536,11.157153368231118,0.4607515000000001,8881,2275,56763,100000,7742.6
80,-2617.9224458144795,0.36962137672749684,10.925248559024782,0.4539305,9224,2233,57481,100000,7845.9,-2589.0982971941235,79.26045841544695,0.6102506799806702,5.677709808905247,0.42939127524468323
81,-2435.4838906498903,0.36582906044288604,11.12935577807751,0.44710950000000005,8653,2214,58199,100000,7988.5
82,-2568.8096613764083,0.36614195508224257,10.957026191285324,0.440279,8731,2175,58918,100000,8086.2
83,-2716.8717158690874,0.3723029503990459,10.815560680217775,0.4334485,9274,2287,59637,100000,8190.6
84,-2534.5700944554665,0.3700286011527559,11.109353554321984,0.42663700000000004,8960,2237,60354,100000,8290.4
85,-2586.9627351711215,0.36459221373759104,10.528897997451427,0.4198065000000001,8998,2154,61073,100000,8390.0
86,-2664.2175460620447,0.3651986363330203,10.471119783221654,0.412976,9047,2237,61792,100000,8490.4
87,-2627.018653948859,0.3664846588191483,10.598052127304344,0.40615500000000004,9126,2303,62510,100000,8591.6
88,-2655.7130611043513,0.36271584983605426,10.571708919534887,0.39932449999999997,9203,2280,63229,100000,8694.5
89,-2543.007667564732,0.3564945269800986,10.260802910668904,0.392494,8635,2274,63948,100000,8791.7
90,-2549.274458037088,0.36888917517342656,10.498056463007318,0.38568250000000004,8883,2239,64665,100000,8891.3,-2577.398544189701,54.44343081680498,0.6151305262823814,5.573608906672566,0.427032165268323
91,-2465.6333745414126,0.3655333451089775,10.645537304158234,0.3788520000000001,8742,2231,65384,100000,9034.9
92,-2629.75957777893,0.3596816070528829,10.073195187164748,0.372031,8684,2152,66102,100000,9132.4
93,-2575.9734548469214,0.3575789741291446,10.336479047415759,0.36520050000000004,8929,2259,66821,100000,9233.2
94,-2697.7134103616104,0.36238441656238674,10.288391205571426,0.35840800000000006,9476,2275,67536,100000,9339.1
95,-2541.9099742637886,0.35634265202475013,9.84222133575306,0.351587,8575,2134,68254,100000,9435.2
96,-2649.418677129638,0.35241216230733347,10.277546264048471,0.3447755,9337,2304,68971,100000,9540.0
97,-2557.389943350083,0.36005315178814357,10.235237092945384,0.33795450000000005,9025,2214,69689,100000,9641.9
98,-2580.12346743461,0.3591630652007104,10.254728112498178,0.331124,9110,2319,70408,100000,9744.0
99,-2579.3155066089143,0.35462827298550537,9.88916784322304,0.324303,9046,2235,71126,100000,9846.1
100,-2435.990957598125,0.3565601986893436,10.335993827061747,0.31747250000000005,8864,2203,71845,100000,9945.6,-2535.5303065642906,31.013851024837873,0.6039058063250804,5.6614020994795595,0.42319157535677954
101,-2698.9331359353337,0.36086854396849793,9.783891208490134,0.3106515000000001,9191,2243,72563,100000,10095.3
102,-2612.724573764151,0.3591366025751215,9.777558649210746,0.303821,8953,2197,73282,100000,10196.7
103,-2563.5198675189686,0.35601293205770573,9.145662796501645,0.29699050000000005,8317,2143,74001,100000,10291.4
104,-2552.483827514479,0.36252958998894713,10.455481521820468,0.29018850000000007,9099,2202,74717,100000,10394.7
105,-2656.579093411223,0.3651317950040021,10.130822251215536,0.2833675000000001,9185,2270,75435,100000,10499.1
106,-2585.0954892005484,0.36114114182289686,9.972825017411418,0.27653700000000003,9195,2251,76154,100000,10604.6
107,-2454.0152687618147,0.36217101051248607,10.01594330988032,0.26970649999999996,8529,2260,76873,100000,10701.7
108,-2495.3494098126885,0.36871681227666986,10.162258193235154,0.262876,8677,2159,77592,100000,10800.3
109,-2596.326925779188,0.36675165566904794,9.696888230093593,0.256074,8700,2110,78308,100000,10899.6
