combo_idx,combo_key,param_no_driver_threshold_steps,param_search_radius_km,param_n_drivers,param_p_cancel_per_step,param_patience_scale,param_acceptance_beta_a,CR_mean,CR_std,WT_mean,WT_std,DU_mean,DU_std,cancel_rate_mean,no_driver_rate_mean,acceptance_rate_mean,n_patterns_passed,pom_pass,mape_weighted,pass_threshold,mape_CR,mape_WT,mape_DU,mape_cancel_rate,mape_no_driver_rate,n_seeds,elapsed_s,error
16,acceptance_beta_a=6.0|n_drivers=200|no_driver_threshold_steps=1|p_cancel_per_step=0.7|patience_scale=16.0|search_radius_km=1.5,1,1.5,200,0.7,16.0,6.0,0.4781272961027752,0.02897037142937509,4.786564139581322,0.13266104057166425,0.4781634143397153,0.008348180113606336,0.1617167091802957,0.3570630327789459,0.22776198752045815,0,False,58.3794501913125,False,22.300884408978057,90.29330265747319,24.868540411179108,37.77796687176063,186.24603216963934,3,4.53,
17,acceptance_beta_a=8.0|n_drivers=200|no_driver_threshold_steps=1|p_cancel_per_step=0.7|patience_scale=16.0|search_radius_km=1.5,1,1.5,200,0.7,16.0,8.0,0.49882726940177763,0.01438412631316983,4.542531318825847,0.13264646398688196,0.48686984454490756,0.01132339127684472,0.14003156479775378,0.35688028444637476,0.24669515671019193,0,False,56.81253236416857,False,18.936990251083063,80.59160221761647,23.50054196230665,46.121531238117285,186.0995286666668,3,4.55,
12,acceptance_beta_a=4.0|n_drivers=200|no_driver_threshold_steps=1|p_cancel_per_step=0.7|patience_scale=12.0|search_radius_km=1.5,1,1.5,200,0.7,12.0,4.0,0.47049933187487086,0.03343229268585129,4.759028185935137,0.048543974090123516,0.4641107091046652,0.016367538319567936,0.2216964484585097,0.30362571924226384,0.19847510047404301,0,False,49.79142031418577,False,23.540483317258587,89.19859100035251,27.076572694323797,14.700194987153656,143.40704418862944,3,4.83,
19,acceptance_beta_a=6.0|n_drivers=300|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=8.0|search_radius_km=1.5,1,1.5,300,0.5,8.0,6.0,0.6396749332075594,0.03202974652581335,3.6969713908133603,0.10391257901366828,0.4121706823526859,0.005387699904590111,0.18765948263814178,0.16902804053906204,0.2309360698828741,1,False,26.950745443283406,False,3.951765525827109,46.9757586596556,35.23765299434476,27.796239456488752,35.50438294649575,3,4.95,
18,acceptance_beta_a=4.0|n_drivers=300|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=8.0|search_radius_km=1.5,1,1.5,300,0.5,8.0,4.0,0.6207452892510278,0.01132182409804616,4.040872326819582,0.18593475128215717,0.4082787541486497,0.011644598125598832,0.20385423268155703,0.17244076049153723,0.2027926625398692,1,False,27.700380833846026,False,0.8755625860156921,60.64778790469659,35.84917248290268,21.565156231925346,38.2402515624635,3,5.1,
20,acceptance_beta_a=8.0|n_drivers=300|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=8.0|search_radius_km=1.5,1,1.5,300,0.5,8.0,8.0,0.6288919579814753,0.018573231774828735,3.7586168063344836,0.0840851508217129,0.434362530763212,0.00788540184154771,0.17530178581983247,0.19191463333295378,0.24443677745142867,1,False,29.104250606792682,False,2.1994546970252786,49.42651652503184,31.750757276153873,32.55098016766858,53.851833608490075,3,5.17,
22,acceptance_beta_a=6.0|n_drivers=300|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=12.0|search_radius_km=1.5,1,1.5,300,0.5,12.0,6.0,0.6607675220312946,0.013259457989937582,4.0981000675210115,0.07888632057699631,0.4198030270635232,0.012331246465659616,0.1492751636052109,0.18592086520234496,0.22560944296661356,0,False,33.91006769250663,False,7.379462523023893,62.92291792784781,34.03842030314846,42.56496918502407,49.0468210823298,3,5.08,
21,acceptance_beta_a=4.0|n_drivers=300|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=12.0|search_radius_km=1.5,1,1.5,300,0.5,12.0,4.0,0.6302244227577336,0.015229572679131784,4.4627937554858645,0.03468376822010777,0.4229443924821699,0.010966245463603655,0.17424458948259736,0.19184882261268976,0.2026008856894653,1,False,33.72857790811962,False,2.4159897819604867,77.42157799327758,33.54483304421799,32.95774645577773,53.7990752554251,3,5.22,
23,acceptance_beta_a=8.0|n_drivers=300|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=12.0|search_radius_km=1.5,1,1.5,300,0.5,12.0,8.0,0.6684916013041909,0.029221526114480874,3.94533633302162,0.23447629499866934,0.43317122621676374,0.015416344809363143,0.13387189651705056,0.193676405439656,0.2507485213878975,0,False,34.535805916907655,False,8.634680815622653,56.84968570605597,31.93794108550711,48.49152185790898,55.26419005212916,3,5.13,
27,acceptance_beta_a=4.0|n_drivers=300|no_driver_threshold_steps=1|p_cancel_per_step=0.7|patience_scale=8.0|search_radius_km=1.5,1,1.5,300,0.7,8.0,4.0,0.611342904131636,0.010671126221609664,3.5748660141298387,0.14840884241496427,0.3916049675130188,0.013131318761371783,0.24665119119593493,0.13771355619234887,0.2026889142512317,3,False,19.40906051524336,False,0.6523924464154526,42.121371520204335,38.46904236261187,5.098621734858241,10.400560733586284,3,5.06,
25,acceptance_beta_a=6.0|n_drivers=300|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=16.0|search_radius_km=1.5,1,1.5,300,0.5,16.0,6.0,0.6603604392266049,0.004263351996678123,4.21526803706595,0.17825481531307474,0.4220081186207654,0.009256086163426505,0.12294845825128879,0.21278756619146114,0.2273760289289326,0,False,38.981562555862205,False,7.313308646944197,67.58101489264205,33.69194513952397,52.6944180279562,70.58499739750083,3,5.24,
24,acceptance_beta_a=4.0|n_drivers=300|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=16.0|search_radius_km=1.5,1,1.5,300,0.5,16.0,4.0,0.6507454906115641,0.009403413832150967,4.92079080157064,0.1587616370403784,0.42555811857756204,0.00639660612842834,0.14371441591184966,0.20080578667179516,0.1945311053467691,0,False,39.86908719276193,False,5.750810521588872,95.62958021895385,33.134151150490574,44.70451944515428,60.97958734106649,3,5.39,
