combo_idx,combo_key,param_no_driver_threshold_steps,param_search_radius_km,param_n_drivers,param_p_cancel_per_step,param_patience_scale,param_acceptance_beta_a,param_acceptance_beta_b,CR_mean,CR_std,WT_mean,WT_std,DU_mean,DU_std,cancel_rate_mean,no_driver_rate_mean,acceptance_rate_mean,n_patterns_passed,pom_pass,mape_weighted,pass_threshold,mape_CR,mape_WT,mape_DU,mape_cancel_rate,mape_no_driver_rate,n_seeds,elapsed_s,error
592,acceptance_beta_a=7.0|acceptance_beta_b=2.0|n_drivers=350|no_driver_threshold_steps=1|p_cancel_per_step=0.4|patience_scale=10.0|search_radius_km=1.75,1,1.75,350,0.4,10.0,7.0,2.0,0.7285355815307967,0.018666888997921578,3.915721710524306,0.25778648559553125,0.43014570152993237,0.025452910440586705,0.11589355892239916,0.15357114501868685,0.23932899765733262,0,False,33.68649229961854,False,18.39225834403307,55.67233507256773,32.413326861429645,55.408857259273745,23.113083354562868,3,7.74,
593,acceptance_beta_a=7.0|acceptance_beta_b=3.0|n_drivers=350|no_driver_threshold_steps=1|p_cancel_per_step=0.4|patience_scale=10.0|search_radius_km=1.75,1,1.75,350,0.4,10.0,7.0,3.0,0.7396060728604535,0.0017816881160769857,3.99380937134042,0.07089901395245864,0.4130594047369444,0.0057844650601996585,0.12844200100664227,0.12769204150254357,0.21405141494412736,1,False,31.757533456792917,False,20.191292602239322,58.77676623449815,35.09801242817805,50.58072550324675,2.3666323989707676,3,7.84,
595,acceptance_beta_a=5.0|acceptance_beta_b=2.0|n_drivers=350|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=6.0|search_radius_km=1.75,1,1.75,350,0.5,6.0,5.0,2.0,0.7123260599316937,0.030671536080683574,3.426971744051825,0.1361635485989061,0.3998868358030297,0.011049831717382512,0.1905775331127444,0.09394605774887466,0.21682970752764574,0,False,27.63619451750992,False,15.75809480083068,36.24172836144302,37.16775323406131,26.673491941894127,24.68644524944833,3,7.66,
594,acceptance_beta_a=5.0|acceptance_beta_b=1.5|n_drivers=350|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=6.0|search_radius_km=1.75,1,1.75,350,0.5,6.0,5.0,1.5,0.7238009717987127,0.02162807258999639,3.2286759686614395,0.10856336884962367,0.40563019108587367,0.004013160121154759,0.17342840911586485,0.09925635451637478,0.23813809712631384,0,False,27.119403344662764,False,17.622850297577404,28.35833708083197,36.265328137542596,33.271779570072866,20.429349891494486,3,7.88,
596,acceptance_beta_a=5.0|acceptance_beta_b=3.0|n_drivers=350|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=6.0|search_radius_km=1.75,1,1.75,350,0.5,6.0,5.0,3.0,0.6730070269429236,0.03395924564172861,3.658842660857017,0.10256520557822313,0.3918285303787525,0.005031428320989018,0.21894185421328496,0.10319312822426431,0.18538770406511051,0,False,24.87115837906987,False,9.36846987453289,45.45992355582219,38.433915031852735,15.760051171774276,17.273364113121342,3,7.9,
597,acceptance_beta_a=6.0|acceptance_beta_b=1.5|n_drivers=350|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=6.0|search_radius_km=1.75,1,1.75,350,0.5,6.0,6.0,1.5,0.7202625235236805,0.022349715082337334,3.211514992326997,0.17046262014769997,0.4101217799842853,0.011899525378285416,0.16983733797992392,0.10678947669268246,0.2452534348192892,1,False,25.990668945963524,False,17.047827068877478,27.676090114473883,35.559586920857086,34.65347814852505,14.3902863792766,3,7.87,
598,acceptance_beta_a=6.0|acceptance_beta_b=2.0|n_drivers=350|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=6.0|search_radius_km=1.75,1,1.75,350,0.5,6.0,6.0,2.0,0.6883626027954793,0.01676600651507348,3.449916158424417,0.10869211045311339,0.40461992466045626,0.015934343362647735,0.18499098735668595,0.12218664251760687,0.2262834030331554,1,False,23.514227621776048,False,11.863861107912651,37.153900069829255,36.424066319592775,28.822968250606003,2.046870176986212,3,7.65,
599,acceptance_beta_a=6.0|acceptance_beta_b=3.0|n_drivers=350|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=6.0|search_radius_km=1.75,1,1.75,350,0.5,6.0,6.0,3.0,0.6804646701063146,0.013704467372455323,3.62018204737231,0.13425171149086823,0.401410119045456,0.009373916443110211,0.20514538623048906,0.1099025915240452,0.20189930822825075,1,False,24.55764466146278,False,10.58039038798619,43.92294303947786,36.92840724911448,21.06837269420368,11.8946016223566,3,8.76,
600,acceptance_beta_a=7.0|acceptance_beta_b=1.5|n_drivers=350|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=6.0|search_radius_km=1.75,1,1.75,350,0.5,6.0,7.0,1.5,0.751740607722604,0.013765178442054733,2.9850892891311953,0.07442661550554142,0.39529269801665734,0.011411319495362077,0.15539138394779436,0.09041020851087089,0.2586475852469332,0,False,29.501827085418817,False,22.16324156767727,18.674373306509256,37.889607451868706,40.2116955702886,27.521022682041906,3,9.07,
601,acceptance_beta_a=7.0|acceptance_beta_b=2.0|n_drivers=350|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=6.0|search_radius_km=1.75,1,1.75,350,0.5,6.0,7.0,2.0,0.7188500707648044,0.012201477848382894,3.2583647661114727,0.17764825816641203,0.40312442438730417,0.00845006673818808,0.1689577577586622,0.10798360159336469,0.24004856258055898,1,False,26.41688809397393,False,16.818293362951646,29.538636592955452,36.65904690356855,34.99190495638987,13.432994575431797,3,9.18,
